Item,System,Mean readability (original),Mean readability (reproduction),CV* (%)
0,groundtruth,5.0,3.5,35.188422040035974
1,groundtruth,5.0,4.0,22.155673136318953
2,PAQ,2.5,2.0,22.155673136318953
3,PAQ,5.0,4.5,10.494792538256343
4,PAQ,4.0,3.0,28.485865460981504
5,Ours,5.0,2.0,85.45759638294449
6,Ours,5.0,5.0,0.0
7,Ours,5.0,5.0,0.0
8,groundtruth,5.0,4.0,22.155673136318953
9,groundtruth,5.0,5.0,0.0
10,groundtruth,5.0,3.5,35.188422040035974
11,PAQ,4.0,2.0,66.46701940895684
12,PAQ,3.0,1.5,66.46701940895683
13,PAQ,4.0,2.5,46.015628821585494
14,Ours,5.0,5.0,0.0
15,Ours,4.5,3.0,39.8802116453741
16,Ours,5.0,2.5,66.46701940895684
17,groundtruth,5.0,3.5,35.188422040035974
18,PAQ,3.5,2.5,33.23350970447842
19,PAQ,5.0,5.0,0.0
20,PAQ,3.0,3.0,0.0
21,Ours,4.5,2.5,56.97173092196301
22,Ours,5.0,5.0,0.0
23,Ours,5.0,3.0,49.85026455671763
24,groundtruth,5.0,5.0,0.0
25,groundtruth,5.0,5.0,0.0
26,PAQ,4.0,3.0,28.485865460981504
27,PAQ,4.0,3.0,28.485865460981504
28,PAQ,4.0,3.0,28.485865460981504
29,Ours,4.5,4.5,0.0
30,Ours,5.0,4.0,22.155673136318953
31,Ours,5.0,4.5,10.494792538256343
125,groundtruth,4.0,3.5,13.29340388179137
126,groundtruth,5.0,5.0,0.0
127,groundtruth,5.0,5.0,0.0
128,groundtruth,5.0,5.0,0.0
129,PAQ,5.0,5.0,0.0
130,PAQ,5.0,5.0,0.0
131,PAQ,4.5,3.5,24.925132278358817
132,Ours,4.0,4.5,11.729474013345326
133,Ours,4.5,4.5,0.0
134,Ours,5.0,4.5,10.494792538256343
135,groundtruth,5.0,5.0,0.0
136,groundtruth,5.0,5.0,0.0
137,groundtruth,5.0,5.0,0.0
138,groundtruth,5.0,4.5,10.494792538256343
139,groundtruth,4.0,4.0,0.0
140,groundtruth,5.0,4.0,22.155673136318953
141,groundtruth,3.5,4.5,24.925132278358817
142,groundtruth,5.0,4.5,10.494792538256343
143,groundtruth,4.5,5.0,10.494792538256343
144,PAQ,4.5,5.0,10.494792538256343
145,PAQ,3.5,2.5,33.23350970447842
146,PAQ,5.0,5.0,0.0
147,Ours,4.0,4.0,0.0
148,Ours,5.0,3.5,35.188422040035974
149,Ours,5.0,3.5,35.188422040035974
